SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
19,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
20,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
21,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
22,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
23,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
24,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
25,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
26,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
27,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
28,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
29,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
30,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
31,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
32,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
33,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
34,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
35,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
