
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_ram_wrapper_8s_8s_3_3_1s_1s_2s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_LSRAM_top_8s_8s_3_3_8s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. read_top_32s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. request_scheduler_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. write_top_32s_64s, 61, 38, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. request_scheduler_1, 23, 36, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. work_write_mux_write_mux_64_32_8_1_g_DATA_WIDTHg_ADDR_WIDTH, 38, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. write_demux, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. H264_DDR_WRITE, 346, 153, 139, 0, 0, 13, 0, 0, 0
.	.	.	.	. ddr_write_controller_enc, 145, 81, 73, 0, 0, 0, 0, 0, 0
.	.	.	.	. work_data_packer_h264_data_packer_h264_16_64_1_g_IP_DWg_OP_DW, 84, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. work_video_fifo_video_fifo_12_64_1280_1_g_VIDEO_FIFO_AWIDTHg_INPUT_VIDEO_DATA_BIT_WIDTHg_HALF_EMPTY_THRESHOLD, 117, 62, 66, 0, 0, 13, 0, 0, 0
.	.	.	.	.	. ram2PORT_work_video_fifo_video_fifo_0layer1, 0, 0, 0, 0, 0, 13, 0, 0, 0
.	.	.	. H264_Iframe_Encoder_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
